task_wording,role_noun_gender,KW_inclusive,KW_gender-neutral,KW_formal,KW_professional,KW_gender-specific,KW_neutral,KW_accurate,KW_modern,KW_gender,KW_common,KW_engaging,KW_pronouns,KW_concise,KW_informal,KW_conversational,count
pronoun declaration she/her,feminine,0.5198675496688742,0.3708609271523179,0.04966887417218543,0.2781456953642384,0.03642384105960265,0.48344370860927155,0.12251655629139073,0.19205298013245034,0.5066225165562914,0.016556291390728478,0.0033112582781456954,0.006622516556291391,0.033112582781456956,0.016556291390728478,0.0,302
pronoun declaration she/her,masculine,0.4631043256997455,0.4198473282442748,0.0737913486005089,0.14249363867684478,0.08142493638676845,0.4758269720101781,0.1272264631043257,0.22137404580152673,0.5318066157760815,0.020356234096692113,0.005089058524173028,0.12468193384223919,0.027989821882951654,0.07633587786259542,0.0,393
pronoun declaration he/him,feminine,0.415,0.4125,0.025,0.125,0.0575,0.56,0.14,0.1125,0.625,0.0275,0.0025,0.36,0.025,0.0025,0.0025,400
pronoun declaration he/him,masculine,0.4429065743944637,0.23183391003460208,0.15916955017301038,0.24567474048442905,0.05536332179930796,0.28719723183391005,0.1384083044982699,0.31833910034602075,0.3391003460207612,0.031141868512110725,0.006920415224913495,0.01730103806228374,0.03460207612456748,0.0726643598615917,0.0034602076124567475,289
pronoun usage their,feminine,0.43915343915343913,0.3492063492063492,0.06878306878306878,0.30158730158730157,0.026455026455026454,0.4074074074074074,0.06878306878306878,0.13756613756613756,0.4497354497354497,0.037037037037037035,0.021164021164021163,0.0,0.07936507936507936,0.015873015873015872,0.0,189
pronoun usage their,masculine,0.37184115523465705,0.2888086642599278,0.11913357400722022,0.17689530685920576,0.010830324909747292,0.30685920577617326,0.08664259927797834,0.3176895306859206,0.35379061371841153,0.021660649819494584,0.007220216606498195,0.0,0.02888086642599278,0.061371841155234655,0.0,277
pronoun usage her,feminine,0.31382978723404253,0.3829787234042553,0.15425531914893617,0.30319148936170215,0.015957446808510637,0.42021276595744683,0.06914893617021277,0.14893617021276595,0.4627659574468085,0.0797872340425532,0.02127659574468085,0.0,0.05319148936170213,0.05319148936170213,0.0,188
pronoun usage her,masculine,0.36363636363636365,0.3519061583577713,0.17595307917888564,0.19941348973607037,0.02932551319648094,0.3841642228739003,0.08797653958944282,0.23460410557184752,0.4222873900293255,0.020527859237536656,0.02932551319648094,0.0,0.03519061583577713,0.07038123167155426,0.0,341
pronoun usage his,feminine,0.5257731958762887,0.38144329896907214,0.1134020618556701,0.23711340206185566,0.030927835051546393,0.44329896907216493,0.08247422680412371,0.17010309278350516,0.4639175257731959,0.03608247422680412,0.005154639175257732,0.0,0.05154639175257732,0.041237113402061855,0.0,194
pronoun usage his,masculine,0.3177966101694915,0.2584745762711864,0.1483050847457627,0.22033898305084745,0.0211864406779661,0.2754237288135593,0.06779661016949153,0.2923728813559322,0.3389830508474576,0.025423728813559324,0.0211864406779661,0.0,0.029661016949152543,0.0635593220338983,0.0,236
