index,role_noun,role_noun_set,sentence,sentence_format,task_wording,prompt_text
22,bartender,"['bartender', 'bargirl', 'barman']","I’ve also worked in no particular order as a furniture mover, security guard, bartender, in a garage, in fast food restaurants and as a life-model.","I’ve also worked in no particular order as a furniture mover, security guard, [ROLE NOUN], in a garage, in fast food restaurants and as a life-model.",simple,"I’ve also worked in no particular order as a furniture mover, security guard, bartender, in a garage, in fast food restaurants and as a life-model. I am a"
23,bartender,"['bartender', 'bargirl', 'barman']","Before Laser 24, I worked in Hospitality as a bartender.","Before Laser 24, I worked in Hospitality as a [ROLE NOUN].",simple,"Before Laser 24, I worked in Hospitality as a bartender. I am a"
24,bartender,"['bartender', 'bargirl', 'barman']",In 1979 I was working as a bartender in a Dublin pub.,In 1979 I was working as a [ROLE NOUN] in a Dublin pub.,simple,In 1979 I was working as a bartender in a Dublin pub. I am a
25,bartender,"['bartender', 'bargirl', 'barman']","I’ve been a factory worker, bartender, student, designer, web developer, strategist, marketer, manager and business owner.","I’ve been a factory worker, [ROLE NOUN], student, designer, web developer, strategist, marketer, manager and business owner.",simple,"I’ve been a factory worker, bartender, student, designer, web developer, strategist, marketer, manager and business owner. I am a"
26,bartender,"['bartender', 'bargirl', 'barman']","I have been working in the hospitality industry since I left school, starting as a bartender, working up to chargehand and key holder.","I have been working in the hospitality industry since I left school, starting as a [ROLE NOUN], working up to chargehand and key holder.",simple,"I have been working in the hospitality industry since I left school, starting as a bartender, working up to chargehand and key holder. I am a"
27,bartender,"['bartender', 'bargirl', 'barman']","I'd take my clients to Bond Street, Regent Street and Savile Row, which was quite a contrast because I was a bartender at the time!","I'd take my clients to Bond Street, Regent Street and Savile Row, which was quite a contrast because I was a [ROLE NOUN] at the time!",simple,"I'd take my clients to Bond Street, Regent Street and Savile Row, which was quite a contrast because I was a bartender at the time! I am a"
28,bartender,"['bartender', 'bargirl', 'barman']",I was a bartender and a production metallurgist for over a decade each.,I was a [ROLE NOUN] and a production metallurgist for over a decade each.,simple,I was a bartender and a production metallurgist for over a decade each. I am a
29,bartender,"['bartender', 'bargirl', 'barman']","I am a writer by day and a bartender by night, not the best at either but hopefully the best at both.","I am a writer by day and a [ROLE NOUN] by night, not the best at either but hopefully the best at both.",simple,"I am a writer by day and a bartender by night, not the best at either but hopefully the best at both. I am a"
30,bartender,"['bartender', 'bargirl', 'barman']","A Passionate, Experienced, & Recognized bartender Inspired by new techniques and fresh ingredients, I strive to add an innovative and unique touch to every single drink I prepare.","A Passionate, Experienced, & Recognized [ROLE NOUN] Inspired by new techniques and fresh ingredients, I strive to add an innovative and unique touch to every single drink I prepare.",simple,"A Passionate, Experienced, & Recognized bartender Inspired by new techniques and fresh ingredients, I strive to add an innovative and unique touch to every single drink I prepare. I am a"
31,bartender,"['bartender', 'bargirl', 'barman']","I've worked in lots of different office situations, as a barista (coffee bartender), and I'm also a licensed beautician.","I've worked in lots of different office situations, as a barista (coffee [ROLE NOUN]), and I'm also a licensed beautician.",simple,"I've worked in lots of different office situations, as a barista (coffee bartender), and I'm also a licensed beautician. I am a"
32,bartender,"['bartender', 'bargirl', 'barman']",When I'm on my winter and summer breaks I work as a bartender at a movie theater in Colorado.,When I'm on my winter and summer breaks I work as a [ROLE NOUN] at a movie theater in Colorado.,simple,When I'm on my winter and summer breaks I work as a bartender at a movie theater in Colorado. I am a
33,bartender,"['bartender', 'bargirl', 'barman']","In a past life, I was a bartender at some of the best bars in the world.","In a past life, I was a [ROLE NOUN] at some of the best bars in the world.",simple,"In a past life, I was a bartender at some of the best bars in the world. I am a"
34,businessperson,"['businessperson', 'businesswoman', 'businessman']","Specifically we are a businessperson, a doctor, and a professor, which means we have real jobs and ride just for fun, recreation, and health.","Specifically we are a [ROLE NOUN], a doctor, and a professor, which means we have real jobs and ride just for fun, recreation, and health.",simple,"Specifically we are a businessperson, a doctor, and a professor, which means we have real jobs and ride just for fun, recreation, and health. I am a"
35,businessperson,"['businessperson', 'businesswoman', 'businessman']","I'm now a selfless entrepreneur, mentor, & businessperson.","I'm now a selfless entrepreneur, mentor, & [ROLE NOUN].",simple,"I'm now a selfless entrepreneur, mentor, & businessperson. I am a"
36,businessperson,"['businessperson', 'businesswoman', 'businessman']","I’m a golfer, businessperson and all around hard worker.","I’m a golfer, [ROLE NOUN] and all around hard worker.",simple,"I’m a golfer, businessperson and all around hard worker. I am a"
37,businessperson,"['businessperson', 'businesswoman', 'businessman']","I am a diversely talented businessperson, entrepreneur, and 2D/3D artist.","I am a diversely talented [ROLE NOUN], entrepreneur, and 2D/3D artist.",simple,"I am a diversely talented businessperson, entrepreneur, and 2D/3D artist. I am a"
38,businessperson,"['businessperson', 'businesswoman', 'businessman']","– I’m a businessperson who has climbed the ranks, I’ve spent time cooking and learning some DIY tricks for around the house, and i’m big into sports.","– I’m a [ROLE NOUN] who has climbed the ranks, I’ve spent time cooking and learning some DIY tricks for around the house, and i’m big into sports.",simple,"– I’m a businessperson who has climbed the ranks, I’ve spent time cooking and learning some DIY tricks for around the house, and i’m big into sports. I am a"
39,businessperson,"['businessperson', 'businesswoman', 'businessman']","I'm a businessperson, philanthropist, and fine art aficionado.","I'm a [ROLE NOUN], philanthropist, and fine art aficionado.",simple,"I'm a businessperson, philanthropist, and fine art aficionado. I am a"
40,businessperson,"['businessperson', 'businesswoman', 'businessman']","I have spent most of my life as a businessperson and entrepreneur, building businesses small and large.","I have spent most of my life as a [ROLE NOUN] and entrepreneur, building businesses small and large.",simple,"I have spent most of my life as a businessperson and entrepreneur, building businesses small and large. I am a"
41,businessperson,"['businessperson', 'businesswoman', 'businessman']","If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur.","If you become our client, you will get the benefit of my thoughts as a [ROLE NOUN] and entrepreneur.",simple,"If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur. I am a"
42,businessperson,"['businessperson', 'businesswoman', 'businessman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a
43,businessperson,"['businessperson', 'businesswoman', 'businessman']",But that’s the punchline; getting to the position of being able to own a business was an evolution of thought and action for me as a person and a businessperson.,But that’s the punchline; getting to the position of being able to own a business was an evolution of thought and action for me as a person and a [ROLE NOUN].,simple,But that’s the punchline; getting to the position of being able to own a business was an evolution of thought and action for me as a person and a businessperson. I am a
44,businessperson,"['businessperson', 'businesswoman', 'businessman']","Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures.","Still pursuing the challenge of being an artist and [ROLE NOUN], I continue to stretch my creative side for new adventures.",simple,"Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures. I am a"
45,businessperson,"['businessperson', 'businesswoman', 'businessman']","I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships.","I am a skilled presenter, negotiator, and [ROLE NOUN], and adept at forging solid relationships.",simple,"I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships. I am a"
46,businessperson,"['businessperson', 'businesswoman', 'businessman']","For years, I have been a businessperson and photography was my passion.","For years, I have been a [ROLE NOUN] and photography was my passion.",simple,"For years, I have been a businessperson and photography was my passion. I am a"
47,businessperson,"['businessperson', 'businesswoman', 'businessman']",In late 2003 after establishing myself as a very successful businessperson earlier in my career.,In late 2003 after establishing myself as a very successful [ROLE NOUN] earlier in my career.,simple,In late 2003 after establishing myself as a very successful businessperson earlier in my career. I am a
48,businessperson,"['businessperson', 'businesswoman', 'businessman']","A businessperson working as an HR Consultant for corporate companies, Financial Officer, Pastel Accounting, Microsoft trainer not knowing that I would leave all behind to follow my passion.","A [ROLE NOUN] working as an HR Consultant for corporate companies, Financial Officer, Pastel Accounting, Microsoft trainer not knowing that I would leave all behind to follow my passion.",simple,"A businessperson working as an HR Consultant for corporate companies, Financial Officer, Pastel Accounting, Microsoft trainer not knowing that I would leave all behind to follow my passion. I am a"
49,businessperson,"['businessperson', 'businesswoman', 'businessman']","I'm a businessperson, a strategic partner to the brands I love and endorse.","I'm a [ROLE NOUN], a strategic partner to the brands I love and endorse.",simple,"I'm a businessperson, a strategic partner to the brands I love and endorse. I am a"
50,businessperson,"['businessperson', 'businesswoman', 'businessman']","A true businessperson through and through, I am also the co-owner of a local children’s boutique.","A true [ROLE NOUN] through and through, I am also the co-owner of a local children’s boutique.",simple,"A true businessperson through and through, I am also the co-owner of a local children’s boutique. I am a"
51,businessperson,"['businessperson', 'businesswoman', 'businessman']",And it’s through this specific role that I created a new role for myself: businessperson.,And it’s through this specific role that I created a new role for myself: [ROLE NOUN].,simple,And it’s through this specific role that I created a new role for myself: businessperson. I am a
52,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I got promoted with pay rises, but it wasn't enough, I knew I wanted to be a camera operator/DOP.","I got promoted with pay rises, but it wasn't enough, I knew I wanted to be a [ROLE NOUN]/DOP.",simple,"I got promoted with pay rises, but it wasn't enough, I knew I wanted to be a camera operator/DOP. I am a"
53,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I’m a video editor, director and camera operator with over 7 years of experience in advertising, promotional videos and corporate films.","I’m a video editor, director and [ROLE NOUN] with over 7 years of experience in advertising, promotional videos and corporate films.",simple,"I’m a video editor, director and camera operator with over 7 years of experience in advertising, promotional videos and corporate films. I am a"
54,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I have garnered extensive experience as a cinematographer, camera operator and director of photography while constantly adapting to the ever-changing industry standards of a mercurial market.","I have garnered extensive experience as a cinematographer, [ROLE NOUN] and director of photography while constantly adapting to the ever-changing industry standards of a mercurial market.",simple,"I have garnered extensive experience as a cinematographer, camera operator and director of photography while constantly adapting to the ever-changing industry standards of a mercurial market. I am a"
55,camera operator,"['camera operator', 'camerawoman', 'cameraman']",I’m also a skilled camera operator and editor using the very latest professional video recording equipment and editing software.,I’m also a skilled [ROLE NOUN] and editor using the very latest professional video recording equipment and editing software.,simple,I’m also a skilled camera operator and editor using the very latest professional video recording equipment and editing software. I am a
56,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I became an editor before I became a motion artist, and camera operator, so I think about the material and how I want to cut it before I start the post process.","I became an editor before I became a motion artist, and [ROLE NOUN], so I think about the material and how I want to cut it before I start the post process.",simple,"I became an editor before I became a motion artist, and camera operator, so I think about the material and how I want to cut it before I start the post process. I am a"
57,camera operator,"['camera operator', 'camerawoman', 'cameraman']","In pursuit of realising the client’s vision I have taken on several roles such as cinematographer, drone camera operator, steadicam operator and video editor, amongst several others.","In pursuit of realising the client’s vision I have taken on several roles such as cinematographer, drone [ROLE NOUN], steadicam operator and video editor, amongst several others.",simple,"In pursuit of realising the client’s vision I have taken on several roles such as cinematographer, drone camera operator, steadicam operator and video editor, amongst several others. I am a"
58,camera operator,"['camera operator', 'camerawoman', 'cameraman']","Like many, I started out as a runner before working as a camera assistant and eventually as a Director of Photography / camera operator.","Like many, I started out as a runner before working as a camera assistant and eventually as a Director of Photography / [ROLE NOUN].",simple,"Like many, I started out as a runner before working as a camera assistant and eventually as a Director of Photography / camera operator. I am a"
59,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I started my career in the early 1980′s as a news camera operator, and quickly learnt how to think on my feet in developing situations.","I started my career in the early 1980′s as a news [ROLE NOUN], and quickly learnt how to think on my feet in developing situations.",simple,"I started my career in the early 1980′s as a news camera operator, and quickly learnt how to think on my feet in developing situations. I am a"
60,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I'm a director and lighting camera operator working on narrative, commercial and factual projects.","I'm a director and lighting [ROLE NOUN] working on narrative, commercial and factual projects.",simple,"I'm a director and lighting camera operator working on narrative, commercial and factual projects. I am a"
61,camera operator,"['camera operator', 'camerawoman', 'cameraman']",I am an extremely versatile documentary camera operator with a wide range of skills applicable to both natural history and obs doc productions.,I am an extremely versatile documentary [ROLE NOUN] with a wide range of skills applicable to both natural history and obs doc productions.,simple,I am an extremely versatile documentary camera operator with a wide range of skills applicable to both natural history and obs doc productions. I am a
62,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I'm a camera operator and documentary filmmaker with over 25 years experience, starting in news and current affairs at the Australian Broadcasting Corporation.","I'm a [ROLE NOUN] and documentary filmmaker with over 25 years experience, starting in news and current affairs at the Australian Broadcasting Corporation.",simple,"I'm a camera operator and documentary filmmaker with over 25 years experience, starting in news and current affairs at the Australian Broadcasting Corporation. I am a"
63,camera operator,"['camera operator', 'camerawoman', 'cameraman']",I sometimes work as a camera operator and also as an editor.,I sometimes work as a [ROLE NOUN] and also as an editor.,simple,I sometimes work as a camera operator and also as an editor. I am a
64,camera operator,"['camera operator', 'camerawoman', 'cameraman']",I’ve played camera operator my whole life and I can’t remember a time when I wasn’t trying to capture the smiles of family and friends.,I’ve played [ROLE NOUN] my whole life and I can’t remember a time when I wasn’t trying to capture the smiles of family and friends.,simple,I’ve played camera operator my whole life and I can’t remember a time when I wasn’t trying to capture the smiles of family and friends. I am a
65,camera operator,"['camera operator', 'camerawoman', 'cameraman']",*Later I became a camera operator and the places I visited helped to create some of the unique and interesting photographs in my portfolio.,*Later I became a [ROLE NOUN] and the places I visited helped to create some of the unique and interesting photographs in my portfolio.,simple,*Later I became a camera operator and the places I visited helped to create some of the unique and interesting photographs in my portfolio. I am a
66,camera operator,"['camera operator', 'camerawoman', 'cameraman']","Currently I am a freelance camera operator, shooting for Jumbotron productions and linear video productions.","Currently I am a freelance [ROLE NOUN], shooting for Jumbotron productions and linear video productions.",simple,"Currently I am a freelance camera operator, shooting for Jumbotron productions and linear video productions. I am a"
67,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I do everything, from coding to video editing, acting to being the camera operator, and everything business wise, and of course all of my social media presence.","I do everything, from coding to video editing, acting to being the [ROLE NOUN], and everything business wise, and of course all of my social media presence.",simple,"I do everything, from coding to video editing, acting to being the camera operator, and everything business wise, and of course all of my social media presence. I am a"
68,camera operator,"['camera operator', 'camerawoman', 'cameraman']",Since 2008 I have been working as a freelance camera operator with a focus on documentary and reportage.,Since 2008 I have been working as a freelance [ROLE NOUN] with a focus on documentary and reportage.,simple,Since 2008 I have been working as a freelance camera operator with a focus on documentary and reportage. I am a
69,camera operator,"['camera operator', 'camerawoman', 'cameraman']","I was a main director/camera operator in my school's nationally accredited film program, which I pursued into 2016, including some work towards a degree in film.","I was a main director/[ROLE NOUN] in my school's nationally accredited film program, which I pursued into 2016, including some work towards a degree in film.",simple,"I was a main director/camera operator in my school's nationally accredited film program, which I pursued into 2016, including some work towards a degree in film. I am a"
70,caveperson,"['caveperson', 'cavewoman', 'caveman']","I’ve slammed, smashed, banged, broken, kicked and punched things and screamed like a caveperson, at a snap, in fits of anger.","I’ve slammed, smashed, banged, broken, kicked and punched things and screamed like a [ROLE NOUN], at a snap, in fits of anger.",simple,"I’ve slammed, smashed, banged, broken, kicked and punched things and screamed like a caveperson, at a snap, in fits of anger. I am a"
71,caveperson,"['caveperson', 'cavewoman', 'caveman']","Call me a modern caveperson if you must, because I think of the great outdoors as one big playground.","Call me a modern [ROLE NOUN] if you must, because I think of the great outdoors as one big playground.",simple,"Call me a modern caveperson if you must, because I think of the great outdoors as one big playground. I am a"
72,caveperson,"['caveperson', 'cavewoman', 'caveman']","After arriving for our working holidays in Australia, being forced to use toilet paper again, we felt like caveperson.","After arriving for our working holidays in Australia, being forced to use toilet paper again, we felt like [ROLE NOUN].",simple,"After arriving for our working holidays in Australia, being forced to use toilet paper again, we felt like caveperson. I am a"
73,caveperson,"['caveperson', 'cavewoman', 'caveman']","Most days, I’m a caveperson trapped in the real world and wrestling with the future.","Most days, I’m a [ROLE NOUN] trapped in the real world and wrestling with the future.",simple,"Most days, I’m a caveperson trapped in the real world and wrestling with the future. I am a"
74,caveperson,"['caveperson', 'cavewoman', 'caveman']","I have considered myself as a caveperson, as I have never before focused my life around travelling until recently.","I have considered myself as a [ROLE NOUN], as I have never before focused my life around travelling until recently.",simple,"I have considered myself as a caveperson, as I have never before focused my life around travelling until recently. I am a"
75,caveperson,"['caveperson', 'cavewoman', 'caveman']","To me, I feel like a caveperson who has just discovered fire or something.","To me, I feel like a [ROLE NOUN] who has just discovered fire or something.",simple,"To me, I feel like a caveperson who has just discovered fire or something. I am a"
76,caveperson,"['caveperson', 'cavewoman', 'caveman']","I can’t wear animal print clothing at all because of my hair, I look like a caveperson.","I can’t wear animal print clothing at all because of my hair, I look like a [ROLE NOUN].",simple,"I can’t wear animal print clothing at all because of my hair, I look like a caveperson. I am a"
77,chairperson,"['chairperson', 'chairwoman', 'chairman']","As a student, I was again politically active, becoming a chairperson of the Association of CDU Students from 1987 to 1989.","As a student, I was again politically active, becoming a [ROLE NOUN] of the Association of CDU Students from 1987 to 1989.",simple,"As a student, I was again politically active, becoming a chairperson of the Association of CDU Students from 1987 to 1989. I am a"
78,chairperson,"['chairperson', 'chairwoman', 'chairman']",I am director of ecology in World Birdstrike Association and vice-chairperson of the Polish Wildlife Strike Committee.,I am director of ecology in World Birdstrike Association and vice-[ROLE NOUN] of the Polish Wildlife Strike Committee.,simple,I am director of ecology in World Birdstrike Association and vice-chairperson of the Polish Wildlife Strike Committee. I am a
79,chairperson,"['chairperson', 'chairwoman', 'chairman']","I was fortunate enough to serve on the Illinois Soy Bean Board, rising to the level of Vice chairperson.","I was fortunate enough to serve on the Illinois Soy Bean Board, rising to the level of Vice [ROLE NOUN].",simple,"I was fortunate enough to serve on the Illinois Soy Bean Board, rising to the level of Vice chairperson. I am a"
80,chairperson,"['chairperson', 'chairwoman', 'chairman']",I teach a weekly Bible study and am chairperson of my church’s administrative council.,I teach a weekly Bible study and am [ROLE NOUN] of my church’s administrative council.,simple,I teach a weekly Bible study and am chairperson of my church’s administrative council. I am a
81,chairperson,"['chairperson', 'chairwoman', 'chairman']",I am the co-founder and chairperson of StockTwits I write books and occasionally do interviews.,I am the co-founder and [ROLE NOUN] of StockTwits I write books and occasionally do interviews.,simple,I am the co-founder and chairperson of StockTwits I write books and occasionally do interviews. I am a
82,chairperson,"['chairperson', 'chairwoman', 'chairman']",In February 2011 I was appointed Conservative Policy Forum National chairperson for the Learning & Culture Sectoral group.,In February 2011 I was appointed Conservative Policy Forum National [ROLE NOUN] for the Learning & Culture Sectoral group.,simple,In February 2011 I was appointed Conservative Policy Forum National chairperson for the Learning & Culture Sectoral group. I am a
83,chairperson,"['chairperson', 'chairwoman', 'chairman']",I decided to vacate the position of chairperson in the interests of corporate succession and was elected as Honorary Life Member of the Social and Ethics Committee.,I decided to vacate the position of [ROLE NOUN] in the interests of corporate succession and was elected as Honorary Life Member of the Social and Ethics Committee.,simple,I decided to vacate the position of chairperson in the interests of corporate succession and was elected as Honorary Life Member of the Social and Ethics Committee. I am a
84,chairperson,"['chairperson', 'chairwoman', 'chairman']",I am also honored to serve as the current chairperson of the Urology Care Foundation Public Education Council.,I am also honored to serve as the current [ROLE NOUN] of the Urology Care Foundation Public Education Council.,simple,I am also honored to serve as the current chairperson of the Urology Care Foundation Public Education Council. I am a
85,chairperson,"['chairperson', 'chairwoman', 'chairman']",I co-chaired and then took over as chairperson of the worship committee.,I co-chaired and then took over as [ROLE NOUN] of the worship committee.,simple,I co-chaired and then took over as chairperson of the worship committee. I am a
86,chairperson,"['chairperson', 'chairwoman', 'chairman']","From there, I became a member of the school site council and then served as chairperson.","From there, I became a member of the school site council and then served as [ROLE NOUN].",simple,"From there, I became a member of the school site council and then served as chairperson. I am a"
87,chairperson,"['chairperson', 'chairwoman', 'chairman']",I was a riding instructor and found myself in the position of county 4-H horse program chairperson and show manager for the area horse club.,I was a riding instructor and found myself in the position of county 4-H horse program [ROLE NOUN] and show manager for the area horse club.,simple,I was a riding instructor and found myself in the position of county 4-H horse program chairperson and show manager for the area horse club. I am a
88,chairperson,"['chairperson', 'chairwoman', 'chairman']","I have been a high school math teacher and Math Department chairperson in the Elmsford School District, my second home and second family, for 32 years.","I have been a high school math teacher and Math Department [ROLE NOUN] in the Elmsford School District, my second home and second family, for 32 years.",simple,"I have been a high school math teacher and Math Department chairperson in the Elmsford School District, my second home and second family, for 32 years. I am a"
